ID	CONCEPT	DOCULECT	SUBGROUP	FORM	VALUE	TOKENS	COGID	COGIDS	ALIGNMENT	MORPHEMES	BORROWING	NOTE	SOURCE
2715	to live	Muinane	Boran	búʔée-no	búʔée-no	b u ʔ e.e + n o	2553	4255 4261	b u ʔ e.e + n o			None	Seifart2024
2716	rope	Proto-Bora-Muinane	Boran	gaaiba-ɨ	gaaiba-ɨ	g a.a i.b a + ɨ	1601	2641 2642	g a.a i.b a + ɨ			None	Seifart2024
2717	rope	Bora	Boran	kʷáápʲa-ɯ	kʷáápʲa-ɯ	kʷ a.a pʲ a + ɯ	1601	2641 2642	kʷ a.a pʲ a + ɯ			None	Seifart2024
2718	rope	Muinane	Boran	gáaiba-ɨ	gáaiba-ɨ	g a.a i.b a + ɨ	1601	2641 2642	g a.a i.b a + ɨ			None	Seifart2024
2719	year	Proto-Bora-Muinane	Boran	pikaba	pikaba	p i k a b a	3250	5474	p i k a b a			None	Seifart2024
2720	year	Bora	Boran	pʰíhkʰʲapa	pʰíhkʰʲapa	pʰ i h.kʰʲ a p a	3250	5474	pʰ i h.kʰʲ a p a			None	Seifart2024
2721	year	Muinane	Boran	ɸikába	ɸikába	ɸ i k a b a	3250	5474	ɸ i k a b a			None	Seifart2024
2722	river	Proto-Bora-Muinane	Boran	muuai	muuai	m u.u a.i	1568	2574	m u.u a.i			None	Seifart2024
2723	river	Bora	Boran	moóa	moóa	m o.o a	1568	2574	m o.o a			None	Seifart2024
2724	river	Muinane	Boran	múúai	múúai	m u.u a.i	1568	2574	m u.u a.i			None	Seifart2024
2725	to push	Proto-Bora-Muinane	Boran	káʔaaku	káʔaaku	k á + ʔ a.a k u	2595	4322 4323	k á - - - + ʔ - a.a k u			None	Seifart2024
2726	to push	Bora	Boran	kʰáβɯ́i-ʔhʲákʰo	kʰáβɯ́i-ʔhʲákʰo	kʰ a β ɯ i + ʔ hʲ a kʰ o	2593	4322 4323	kʰ a β ɯ i + ʔ hʲ a kʰ o			None	Seifart2024
2727	to push	Muinane	Boran	kábújaaku-ʔi	kábújaaku-ʔi	k a b u j + a.a k u + ʔ i	2595	4322 4323 4325	k a b u j + - - a.a k u + ʔ i			None	Seifart2024
2728	to hunt (game)	Proto-Bora-Muinane	Boran	taaβa	taaβa	t a.a β a	2491	4145	t a.a β a			None	Seifart2024
2729	to hunt (game)	Bora	Boran	tʰaaβa	tʰaaβa	tʰ a.a β a	2491	4145	tʰ a.a β a			None	Seifart2024
2730	to hunt (game)	Muinane	Boran	tááβa-ʔi	tááβa-ʔi	t a.a β a + ʔ i	2491	4145 4151	t a.a β a + ʔ i			None	Seifart2024
2731	to cut	Proto-Bora-Muinane	Boran	βɨrɨ	βɨrɨ	β ɨ r ɨ	2256	3748	( - - ) β ɨ r ɨ ( - - )			None	Seifart2024
2732	to cut	Bora	Boran	-βɯrɯ-	-βɯrɯ-	β ɯ ɾ ɯ	2256	3748	( - - ) β ɯ ɾ ɯ ( - - )			None	Seifart2024
2733	to cut	Muinane	Boran	gáβɨrɨ́ɨ́ku-ʔi	gáβɨrɨ́ɨ́ku-ʔi	g a β ɨ r ɨ.ɨ k u + ʔ i	2258	3748 3750	( g a ) β ɨ r ɨ.ɨ ( k u ) + ʔ i			None	Seifart2024
2734	all (of a number)	AchuarShiwiar	Chicham	ashí	ashí	a ʃ i	14	35	- a ʃ i			From the examples seems that this is the least used form: mash	Fast2008
2735	and	AchuarShiwiar	Chicham	túrua	túrua	t u r u.a	30	66	t u r u.a			Because of order of the entries: túra	Fast2008
2736	animal	AchuarShiwiar	Chicham	ikiámia páchim	ikiámia páchim	i kʲ a mʲ a + p a tʃ i m	38	80 81	i kʲ a mʲ a + p a tʃ i m			wild animal	Fast2008
2737	animal	AchuarShiwiar	Chicham	tángku	tángku	t !á/a ŋ k u	44	87	t !á/a ŋ k u			domesticated animal	Fast2008
2738	ashes	AchuarShiwiar	Chicham	yukú̃ũ	yukú̃ũ	j u k uː	52	99	j u - k uː			None	Fast2008
2739	at	AchuarShiwiar	Chicham	-num	-num	n u m	71	130	n u m			From examples and order this is the second most used form: -nam	Fast2008
2740	back (person's)	AchuarShiwiar	Chicham	tuntúp	tuntúp	t u n t u p	79	149	t u n t u p			None	Fast2008
2741	bad (deleterious or unsuitable)	AchuarShiwiar	Chicham	tunáu	tunáu	t u n a u	101	181	t u n a - u			From the semantics seems that the first form here is more related to EVIL and the secod form is discarted as main because of order: pasé,nápchau	Fast2008
2742	bark	AchuarShiwiar	Chicham	sáap	sáap	s aː p	123	216	s aː p -			None	Fast2008
2743	belly	AchuarShiwiar	Chicham	wáke	wáke	w a k ɨ	150	257	w a k ɨ			Seems that this word is better suited for 'stomach'.	Fast2008
2744	big	AchuarShiwiar	Chicham	juun	juun	h uː n	179	306	h uː n			In other examples the main form appears, but this form has no other appearance: juunt	Fast2008
2745	bird	AchuarShiwiar	Chicham	nanámtin	nanámtin	n a n a m t i n	207	347	n a n a m t i n			None	Fast2008
2746	to bite	AchuarShiwiar	Chicham	esáitin	sákratin	ɨ s !á/a + i + t i n	2180	3619 951 952	ɨ s !á/a + i + t i n			Phonological alternation: sákratin,esákatrin	Fast2008
2747	black	AchuarShiwiar	Chicham	shuwín	shuwín	ʃ u w i n	232	380	ʃ u w i n			Because of order of the entries: jimpiách,kimpí,jákach,jákich,tuntúru,tuntú	Fast2008
2748	blood	AchuarShiwiar	Chicham	númpa	númpa	n u m p a	259	422	n u m p a			None	Fast2008
2749	to blow (of wind)	AchuarShiwiar	Chicham	umpuítin	umpuítin	u m p u.i + t i n	2196	3647 974	u m p u.i + t i n			None	Fast2008
2750	bone	AchuarShiwiar	Chicham	ukúnch	kúnch	u k !u/u n tʃ	284	467	u k !u/u n tʃ			Phonological alternation: kúnch	Fast2008
2751	to breathe	AchuarShiwiar	Chicham	mayáiratin	mayáiratin	m a j a.i + r a + t i n	2214	3678 976 975	m a j a.i + r a + t i n			None	Fast2008
2752	to burn (intrans)	AchuarShiwiar	Chicham	kéektin	kéektin	k ɨː + k + t i n	2225	3698 3699 978	k ɨː + k + t i n			None	Fast2008
2753	child (young person rather than as relationship term)	AchuarShiwiar	Chicham	úchi	úchi	u tʃ i	305	502	u tʃ i			None	Fast2008
2754	cloud	AchuarShiwiar	Chicham	mukúnit	mukúnit	m u k u n i t	320	522	m u k u n i t			None	Fast2008
2755	cold (of weather)	AchuarShiwiar	Chicham	tsetsék	tsetsék	ts ɨ ts ɨ k	335	546	ts ɨ ts ɨ k			None	Fast2008
2756	to come	AchuarShiwiar	Chicham	winítin	winítin	v i n i + t i n	2233	3706 979	v i n i - + t i n			None	Fast2008
2757	to count	AchuarShiwiar	Chicham	nekápmartin	nekápmartin	n ɨ k !á/a p m a + r + t i n	2248	3737 980 981	n ɨ k !á/a p m a + r + t i n			None	Fast2008
2758	to cut	AchuarShiwiar	Chicham	charúktin	charúktin	tʃ a r u + k + t i n	2255	3747 982 983	tʃ a r u + k + t i n			None	Fast2008
2759	day (opposite of night rather than time measure)	AchuarShiwiar	Chicham	tsawái	tsawái	ts a w !á/a + i	340	553 794	ts a w !á/a - + i			This is the adverb 'de día'.	Fast2008
2760	to die	AchuarShiwiar	Chicham	jákatin	jákatin	h a + k a + t i n	2272	3773 986 984	h a + k a + t i n			None	Fast2008
2761	to dig	AchuarShiwiar	Chicham	táutin	táutin	t a.u + t i n	2296	3820 1013	t a.u + t i n			None	Fast2008
2762	dirty	AchuarShiwiar	Chicham	kúnta	kúnta	k u n t a	358	583	k u n t a			Because of order of the entries: pakuí,shungkát,yukáip,máatrau,máatramu	Fast2008
2763	dog	AchuarShiwiar	Chicham	yãwá̃ã	yãwá̃ã	j a w aː	380	616	j a w aː			None	Fast2008
2764	to drink	AchuarShiwiar	Chicham	umúrtin	múrtin	u m u + r + t i n	2307	3829 3843 1036	u m u + r + t i n			Phonological alternation: amúrtin,múrtin	Fast2008
2765	dry (substance)	AchuarShiwiar	Chicham	mujúkash	mujúkash	m u h u k a ʃ	404	652	m u h u k a ʃ			None	Fast2008
2766	dull (knife)	AchuarShiwiar	Chicham	mushúm	mushúm	m u ʃ u m	421	673	m u ʃ u m			Phonological alternation: mushúmp	Fast2008
2767	dust	AchuarShiwiar	Chicham	jũyú̃r	jũyú̃r	h u j u r	433	701	h u j u r			Because of order of the entries: mamúunkat	Fast2008
2768	ear	AchuarShiwiar	Chicham	kuwísh	kuwísh	k u w i ʃ	452	727	k u w i ʃ			None	Fast2008
2769	earth (soil)	AchuarShiwiar	Chicham	núngka	núngka	n u ŋ k a	478	771	n u ŋ k a			None	Fast2008
2770	to eat	AchuarShiwiar	Chicham	yúwatin	yúwatin	j u + w a + t i n	2326	3862 1048 1046	j u + w a + t i n			None	Fast2008
2771	egg	AchuarShiwiar	Chicham	nujín	nujín	n u h i n	497	800	n u h i n			Phonological alternation: nujínt	Fast2008
2772	eye	AchuarShiwiar	Chicham	jĩĩ	jĩĩ	h iː	518	833	h iː			None	Fast2008
2773	to fall (drop rather than topple)	AchuarShiwiar	Chicham	kákeektin	kákeektin	k a k ɨː k + t i n	2353	3909 1049	k a k ɨː k + t i n			From the examples, this seems to be the least used form or a phonological alternation: kakératin	Fast2008
2774	far	AchuarShiwiar	Chicham	arák	arák	a r a k	542	876	a r a k			Because of order of the entries: téjchau	Fast2008
2775	fat (organic substance)	AchuarShiwiar	Chicham	mácha	mácha	m a tʃ a	560	902	m a tʃ a			None	Fast2008
2776	father	AchuarShiwiar	Chicham	páachir	páachir	p a + a tʃ i + r	573	933 799 798	- - p a + a tʃ i + r			Phonological alternation: ápar,apáachir	Fast2008
2777	to fear	AchuarShiwiar	Chicham	sapíjmiatin	sapíjmiatin	s a p i h mʲ a + t i n	2372	1052 1053	s a p i h mʲ a + t i n			This form seems to mean GET SCARED: shámkatin	Fast2008
2778	feather (larger feathers rather than down)	AchuarShiwiar	Chicham	úre	úre	u r ɨ	592	953	- u r ɨ			None	Fast2008
2779	few	AchuarShiwiar	Chicham	untsúrinchu	untsúrinchu	u n ts u r i n tʃ u	610	987	u n ts u r i n tʃ u			Phonological variation: untsúrinchau	Fast2008
2780	to fight	AchuarShiwiar	Chicham	máaniktin	máaniktin	m aː + n i + k + t i n	2385	3965 1055 3967 1054	m aː + n i + k + t i n			From the examples, this seems to be the least used form or a phonological alternation: máaniatin	Fast2008
2781	fire	AchuarShiwiar	Chicham	ji	ji	h i	634	1019	h i			None	Fast2008
2782	fish	AchuarShiwiar	Chicham	namák	namák	n a m a k	661	1060	n a m a k			None	Fast2008
2783	five	AchuarShiwiar	Chicham	jũ ũwé̃jka mash	jũ ũwé̃jka mash	h u + u w ɨ h + k a + m a ʃ	679	1089 1090 823 1091	h u + u w ɨ h - + k a + m a ʃ			None	Fast2008
2784	to float	AchuarShiwiar	Chicham	nanáastin	nanáastin	n a n aː + s + t i n	2389	3973 3976 1056	n a n aː + s + t i n			None	Fast2008
2785	flower	AchuarShiwiar	Chicham	yangkúr	yangkúr	j a ŋ k u r	701	1127	j a ŋ k u r			None	Fast2008
2786	to fly	AchuarShiwiar	Chicham	nanámtin	nanámtin	n a n a + m a + t	2404	4000 1059 1058	n a n a + m a + t			None	Fast2008
2787	fog	AchuarShiwiar	Chicham	yurángkim	yurángkim	j u r a ŋ k i m	721	1157	j u r a ŋ k i m			None	Fast2008
2788	foot	AchuarShiwiar	Chicham	náwẽ	náwẽ	n a w ɨ	731	1175	n a w ɨ			None	Fast2008
2789	four	AchuarShiwiar	Chicham	chintúk chintúk	chintúk chintúk	tʃ i n t u k + tʃ i n t u k	756	1217 1218	tʃ i n t u k + tʃ i n t u k			None	Fast2008
2790	to give	AchuarShiwiar	Chicham	súsatin	súsatin	s u + s a + t i n	2425	4035 1081 1082	s u + s a + t i n			None	Fast2008
2791	good	AchuarShiwiar	Chicham	péngker	péngker	p ɨ ŋ k ɨ r	779	1254	p ɨ ŋ k ɨ r			None	Fast2008
2792	grass	AchuarShiwiar	Chicham	nupá̃ã	nupá̃ã	n u p aː	799	1282	n u p aː			None	Fast2008
2793	green	AchuarShiwiar	Chicham	wingkiá	wingkiá	v i ŋ kʲ a	818	1314	v i ŋ kʲ a			dark green. Because of order of the entries, this seems to be a phonological variation: kingkiá	Fast2008
2794	green	AchuarShiwiar	Chicham	samék	samék	s a m ɨ k	819	1315	s a m ɨ k ( - - )			light green	Fast2008
2795	guts	AchuarShiwiar	Chicham	ampúj	ampúj	a m p u h	839	1346	a m p u h -			None	Fast2008
2796	hair	AchuarShiwiar	Chicham	intásh	intásh	i n t a ʃ	844	1354	i n t a ʃ			None	Fast2008
2797	hand	AchuarShiwiar	Chicham	ũwé̃j	ũwé̃j	u w ɨ h	867	1389	u w ɨ h -			None	Fast2008
2798	he	AchuarShiwiar	Chicham	ni	ni,áu	n i	891	1434	n i			None	Fast2008
2799	he	AchuarShiwiar	Chicham	áu	ni,áu	au	898	1441	au			None	Fast2008
2800	head	AchuarShiwiar	Chicham	múuk	múuk	m uː k	902	1464	m uː k -			None	Fast2008
2801	to hear	AchuarShiwiar	Chicham	antúktin	antúktin	a n t u + k + t i n	2446	4065 1086 1087	a n t u + k + t i n			None	Fast2008
2802	heart	AchuarShiwiar	Chicham	nintí	nintí	n i n + t i	925	1507 757	- n i n + t i			Phonological alternation: inintí	Fast2008
2803	heavy	AchuarShiwiar	Chicham	kíjin	kíjin	k i h i n	944	1540	k i h i n			Because of order of the entries: méram	Fast2008
2804	here	AchuarShiwiar	Chicham	jú̃ni	jú̃ni	h u n i	956	1561	h u n i			None	Fast2008
2805	to hit	AchuarShiwiar	Chicham	awátratin	awátratin	a w a t + r a + t i n	2466	4098 1088 1119	a w a t - - + r a + t i n			None	Fast2008
2806	to hold (in hand)	AchuarShiwiar	Chicham	achíktin	ayáarai túsar achíktin	a tʃ !í/i + k + t i n	2479	4135 4125 4126	a tʃ !í/i + k + t i n			None	Fast2008
2807	how	AchuarShiwiar	Chicham	itúr	itúr	i t u r	971	1595	i t u - r - ( - - )			Phonological alternation: itiúr	Fast2008
2808	husband	AchuarShiwiar	Chicham	áishri	áishri	!á/a.i ʃ + r i	992	1626 571	!á/a.i ʃ - + r i			None	Fast2008
2809	I	AchuarShiwiar	Chicham	wi	wi	v i	1	1	v i			None	Fast2008
2810	if	AchuarShiwiar	Chicham	-ka	-ka	k a	1016	1660	( - - ) k a			Phonological alternation: -kia	Fast2008
2811	in	AchuarShiwiar	Chicham	-num	-num	n u m	1025	1681	n u m			Phonological alternation: -nam	Fast2008
2812	to kill	AchuarShiwiar	Chicham	máatin	máatin	m aː + t i n	2502	4164 1125	m aː + t i - n - - -			None	Fast2008
2813	to know (facts)	AchuarShiwiar	Chicham	nekáatin	nekáatin	n ɨ k aː + t i n	2522	4206 1126	n ɨ k aː + t i n			None	Fast2008
2814	lake	AchuarShiwiar	Chicham	mamús	mamús	m a m u s	1039	1714	m a m u s			None	Fast2008
2815	to laugh	AchuarShiwiar	Chicham	wishírtin	wishírtin	v i ʃ i + r + t i n	2532	4223 1148 1149	v i ʃ i + r + t i n			None	Fast2008
2816	leaf	AchuarShiwiar	Chicham	núka	núka	n u k a	1053	1732	n u k a			None	Fast2008
2817	left (hand)	AchuarShiwiar	Chicham	ména	ména	m ɨ n a	1076	1773	m ɨ n a			None	Fast2008
2818	leg	AchuarShiwiar	Chicham	máku	máku	m a k u	1092	1798	m a k u			None	Fast2008
2819	to lie	AchuarShiwiar	Chicham	tepéstin	tepéstin	t ɨ p ɨ + s + t i n	2545	4244 1152 1154	t ɨ p ɨ + s + t i n			None	Fast2008
2820	to live	AchuarShiwiar	Chicham	pujústin	pujústin	p u h u + s + t i n	2551	4253 769 770	p u h u + s + t i n			None	Fast2008
2821	liver	AchuarShiwiar	Chicham	akáp	akáp	a k a p	1109	1826	a k a p -			None	Fast2008
2822	long	AchuarShiwiar	Chicham	esáram	sáram	ɨ s !á/a + r a m	1123	1851 758	ɨ s !á/a + r a m			The first form here seems to be a bit more restricted and the second form is a phonological aternation: japiáng,sáram	Fast2008
2823	louse	AchuarShiwiar	Chicham	téma	téma	t ɨ m a	1147	1887	t ɨ m a			None	Fast2008
2824	man (male human)	AchuarShiwiar	Chicham	áishmang	áishmang	a.i ʃ m a ŋ	1160	1916	a.i ʃ m a ŋ			None	Fast2008
2825	many	AchuarShiwiar	Chicham	untsúri	untsúri	u n ts u r i	1169	1928	u n ts u r i			Because of frequence and order of the entries, these are the more general secondary forms (non dialect specific): kuáchat,kuwáchat,chúcha,kúsha	Fast2008
2826	meat (flesh)	AchuarShiwiar	Chicham	namáng	namáng	n a m a ŋ k ɨ	1191	1957	n a m a ŋ k ɨ ( - - - )			None	Fast2008
2827	mother	AchuarShiwiar	Chicham	núkur	núkur	n u k u + r	1206	1983 826	n u k u + r -			None	Fast2008
2828	mouth	AchuarShiwiar	Chicham	jángkẽ	jángkẽ	h a ŋ k ɨ	1245	2046	h a ŋ k ɨ			None	Fast2008
2829	name	AchuarShiwiar	Chicham	náar	náar	n aː r	1271	2086	n aː r			None	Fast2008
2830	narrow	AchuarShiwiar	Chicham	wangkármachu	wangkármachu	w a ŋ k a + r m a + tʃ u	1289	2113 573 574	w a ŋ k a + r m a + tʃ u			Because of order of the entries: ménaku	Fast2008
2831	near	AchuarShiwiar	Chicham	nintúmas	nintúmas	n i n t u m a s	1305	2135	n i n t u m a s			Phonological alternation: jintiúmas	Fast2008
2832	neck	AchuarShiwiar	Chicham	kuntúj	kuntúj	k u n t u h	1324	2158	k u n t u h			None	Fast2008
2833	new	AchuarShiwiar	Chicham	yamáram	yamáram	j a m a + r a m	1345	2192 874	j a m a + r a m			None	Fast2008
2834	night	AchuarShiwiar	Chicham	káshi	káshi	k a ʃ i	1361	2220	k a ʃ i			None	Fast2008
2835	nose	AchuarShiwiar	Chicham	nújĩ	nújĩ	n u h i	1379	2253	n u h i			None	Fast2008
2836	not	AchuarShiwiar	Chicham	tsá	tsá	ts a	1400	2295	ts a			Phonological alternation: atsá	Fast2008
2837	old	AchuarShiwiar	Chicham	weámrau	weámrau	w ɨa m r au	1419	2335	w ɨa m r au			anciano	Fast2008
2838	old	AchuarShiwiar	Chicham	arút	arút	a r u t	1431	2349	a r u t			usado	Fast2008
2839	one	AchuarShiwiar	Chicham	chikíchik	kíchik	tʃ i k i tʃ i k	1440	2365	tʃ i k i tʃ i k			Phonological anternation: kíchik	Fast2008
2840	other	AchuarShiwiar	Chicham	chikich	kich	tʃ i k i tʃ	1460	2406	tʃ i k i tʃ			Phonological alternation: kich	Fast2008
2841	person	AchuarShiwiar	Chicham	áints	áints	a.i n ts	1475	2438	a.i n ts -			None	Fast2008
2842	to play	AchuarShiwiar	Chicham	nakúrustin	nakúrustin	n a k u r + u s + t i n	2570	4284 4287 1155	n a k u r + u s + t i n			None	Fast2008
2843	to pull	AchuarShiwiar	Chicham	japíktin	japíktin	h a p i + k + t i n	2579	4298 4304 1168	h a p i + k - + t i n			None	Fast2008
2844	to push	AchuarShiwiar	Chicham	shitáktin	shitáktin	ʃ i t a + k + t i n	2592	4321 1169 1170	ʃ i t a + k + t i n			None	Fast2008
2845	to rain	AchuarShiwiar	Chicham	jitúrtin	jitúrtin	h i t u r + t i n	2605	4344 1171	h i t u r + t i n			None	Fast2008
2846	red	AchuarShiwiar	Chicham	kapántin	kapántin	k a p a n t i n	1490	2458	k a p a n t i n			None	Fast2008
2847	right (correct)	AchuarShiwiar	Chicham	métek	métek	m ɨ t ɨ k	1516	2503	m ɨ t ɨ k			None	Fast2008
2848	right (hand)	AchuarShiwiar	Chicham	unsúrinini	unsúrinini	u n s u r i n i n i	1529	2525	u n s u r i n i n i			None	Fast2008
2849	river	AchuarShiwiar	Chicham	éntsa	éntsa	ɨ n ts a	1548	2552	ɨ n ts a			None	Fast2008
2850	road (or trail)	AchuarShiwiar	Chicham	jínta	jínta	h i n t a	1574	2596	h i n t a			Phonological alternation: jíntia	Fast2008
2851	root	AchuarShiwiar	Chicham	kangkáp	kangkáp	k a ŋ k a p	1581	2606	k a ŋ k a p			None	Fast2008
2852	rope	AchuarShiwiar	Chicham	chápik	chápik	tʃ a p i k	1598	2638	tʃ a p i k			None	Fast2008
2853	rotten (especially log)	AchuarShiwiar	Chicham	káuru	káuru	k a.u + r + u	1618	2669 895 896	k a.u + r + u			None	Fast2008
2854	to rub	AchuarShiwiar	Chicham	japírtin	japírtin	h a p i + r + t i n	2612	4355 1172 1173	h a p i + r + t i n			None	Fast2008
2855	salt	AchuarShiwiar	Chicham	wee	wee	w ɨː	1634	2698	w ɨː			None	Fast2008
2856	sand	AchuarShiwiar	Chicham	yayákim	yayákim	j a j a k i m	1646	898	j a j a k i m			Phonological alternation: nayákim,yáikim	Fast2008
2857	say	AchuarShiwiar	Chicham	títin	títin	t i t i n	1666	2749	t i t i n			None	Fast2008
2858	to scratch (as with fingernails to relieve itch)	AchuarShiwiar	Chicham	kesártin	kesártin	k ɨ s a + ɾ + t i n	2624	4371 1172 1173	k ɨ s a + ɾ + t i n			Because of order of the entries and this form has more semantic complexity: péruatin	Fast2008
2859	sea (ocean)	AchuarShiwiar	Chicham	jũũn éntsa	jũũn éntsa	h uː n + ɨ n ts a	1684	2784 2785	h uː n + ɨ n ts a			None	Fast2008
2860	see	AchuarShiwiar	Chicham	jíistin	jíistin	h iː + s + t i n	1700	2834 2817 901	h iː + s + t i n			see + PFV + AS.NMLZ	Fast2008
2861	seed	AchuarShiwiar	Chicham	jingkiájĩ	jingkiájĩ	h i ŋ kʲ a h i	1724	2854	h i ŋ kʲ a h i			None	Fast2008
2862	to sew	AchuarShiwiar	Chicham	apákmartin	apákmartin	a p a + k + m a + r + t i n	2634	4389 1174 1190 4390 1192	a p a + k + m a + r + t i n			None	Fast2008
2863	sharp (as knife)	AchuarShiwiar	Chicham	ére	ére	ɨ r ɨ	1742	2881	ɨ r ɨ			Because of order of the entries: tsákamu	Fast2008
2864	short	AchuarShiwiar	Chicham	sútarach	sútarach	s u t a r a tʃ	1756	2904	s u t a r a tʃ			None	Fast2008
2865	to sing	AchuarShiwiar	Chicham	nampéstin	nampéstin	n a m p ɨ + s + t i n	2646	4401 1203 1204	n a m p ɨ + s + t i n			None	Fast2008
2866	sit	AchuarShiwiar	Chicham	ekéemsatin	kéemsatin	ɨ k ɨː m + s a + t i n	1780	2937 919 920	ɨ k ɨː m - + s a + t i n			Phonological alternation: kéemsatin	Fast2008
2867	skin (person's)	AchuarShiwiar	Chicham	nuwáp	nuwáp	n u w a p	1795	2957	n u w a p -			None	Fast2008
2868	sky	AchuarShiwiar	Chicham	nayáim	nayáim	n a j a.i m	1804	2971	n a j a.i m -			Phonological alternation: yayáim	Fast2008
2869	sleep	AchuarShiwiar	Chicham	kanúrtin	kanúrtin	k a n u + r + t i n	1824	3010 3020 921	k a n u + r + t i n			Because of order of the entries and past examples (maybe a phonological alternation): kajíngtin	Fast2008
2870	small	AchuarShiwiar	Chicham	túupich	trúpich	t uː p i tʃ	1840	3040	t uː p i tʃ			Because of phonological alternation and order of the entries: trúpich,tiúpich,túumpich,yáirach	Fast2008
2871	to smell (perceive odor)	AchuarShiwiar	Chicham	nekápratin	nekápratin	n ɨ k a p + r a + t i n	2661	4427 1205 1206	n ɨ k a p - + r a + t i n			None	Fast2008
2872	smoke (of fire)	AchuarShiwiar	Chicham	mukúnit	mukúnit	m u k u n i t	1864	3071	m u k u n ( i t - - )			None	Fast2008
2873	smooth	AchuarShiwiar	Chicham	pínu	pínu	p i n u	1879	3095	p i n u ( - - - )			None	Fast2008
2874	snake	AchuarShiwiar	Chicham	nápi	nápi	n a p i	1898	3125	n a p i			None	Fast2008
2875	some	AchuarShiwiar	Chicham	júmchik	júmchik	h u m tʃ i k	1921	3157	h u m tʃ i k			None	Fast2008
2876	to spit	AchuarShiwiar	Chicham	usúkmitin	usúkmitin	u s u k + m i + t i n	2676	4450 1208 1209	u s u k + m i + t i n			None	Fast2008
2877	to split	AchuarShiwiar	Chicham	akántratin	akántratin	a k a n + t + r a + t i n	2688	4470 1211 1212 1213	a k a n - + t + r a + t i n			First /t/ maybe an applicative.	Fast2008
2878	to squeeze	AchuarShiwiar	Chicham	ijúrtin	ijúrtin	i h u r + t i n	2699	4488 1250	i h u r + t i n			None	Fast2008
2879	to stab (or stick)	AchuarShiwiar	Chicham	kuchí̃ĩjãĩ ijútin	kuchí̃ĩjãĩ ijútin	k u tʃ iː h a i + i h u + t i n	2709	4513 4514 1250	k u tʃ iː h a i + i h u + t i n			None	Fast2008
2880	star	AchuarShiwiar	Chicham	yaa	yaa	j aː	1931	3169	j aː			None	Fast2008
2881	stick (of wood)	AchuarShiwiar	Chicham	númi	númi	n u m i	1954	3206	n u m i			Phonological alternation: yúmi	Fast2008
2882	stone	AchuarShiwiar	Chicham	káya	káya	k a j a	1970	3241	k a j a			None	Fast2008
2883	straight	AchuarShiwiar	Chicham	túpin	túpin	t u p i n	1990	3270	- - t u p i n ( - - )			None	Fast2008
2884	to suck	AchuarShiwiar	Chicham	mukunátin	mukunátin	m u k u + n a + t i n	2728	4540 4549 1281	m u k u + n a + t i n			None	Fast2008
2885	sun	AchuarShiwiar	Chicham	etsáa	tsaa	ɨ ts aː	2006	3299	- ɨ ts aː ( - - )			Phonolotical alternation: tsaa	Fast2008
2886	to swim	AchuarShiwiar	Chicham	yukuáktin	yukuáktin	j u k u + a + k + t i n	2759	4591 1304 1306 1307	j u k u + a + k + t i n			Because of order of the entries and frequency: yukúmkatin	Fast2008
2887	tail	AchuarShiwiar	Chicham	juké̃	juké̃	u h u k ɨ	2031	3338	u h u k ɨ			Phonolotical alternation: juké̃	Fast2008
2888	that	AchuarShiwiar	Chicham	nu	nu	n u	2048	3366	- n u			None	Fast2008
2889	there	AchuarShiwiar	Chicham	áni	áni	a n i	2062	3394	a n - i			None	Fast2008
2890	they	AchuarShiwiar	Chicham	ni	ni	n i	2076	3426	n i			Form when the adressee is ausent. Rarely used form: aníta	Fast2008
2891	they	AchuarShiwiar	Chicham	áu	áu	au	2084	3434	au			Form when the adressee is present.	Fast2008
2892	thick	AchuarShiwiar	Chicham	nupáram	nupáram	n u p a + r a m	2095	945 943	n u p a + r a m			Because of semantics and order of the entries: tuup,ápu	Fast2008
2893	thin	AchuarShiwiar	Chicham	watsáru	watsáru	w a ts a r u	2110	3493	w a ts a r u			None	Fast2008
2894	to think	AchuarShiwiar	Chicham	nintímratin	nintímratin	n i n t i + m + r a + t i n	2775	4619 1309 1310 1311	- n i n t i + m + r a + t i n			Phonolotical alternation: inintímratin	Fast2008
2895	this	AchuarShiwiar	Chicham	jũ	jũ	h u	2129	3520	h u			None	Fast2008
2896	thou	AchuarShiwiar	Chicham	ámẽ	ámẽ	a m ɨ	2142	3552	a m ɨ			None	Fast2008
2897	three	AchuarShiwiar	Chicham	kampátam	kampátam	k a m p a t a m	2155	3581	k a m p a t a m			None	Fast2008
2898	to throw	AchuarShiwiar	Chicham	jíiktin	jíiktin	h iː + k + t i n	2794	4656 1338 1339	- h iː + k + t i n			None	Fast2008
2899	to tie	AchuarShiwiar	Chicham	jingkiátin	jingkiátin	h i ŋ kʲ a + t i n	2808	4683 1340	h i ŋ kʲ a + t i n			More restrictive form: jíniuktin	Fast2008
2900	tongue	AchuarShiwiar	Chicham	iná̃ĩ	iná̃ĩ	i n a.i	2874	4809	i n a.i			Phonological alternation: inĩá̃ĩ	Fast2008
2901	tooth (front rather than molar)	AchuarShiwiar	Chicham	nái	nái	n a.i	2892	4843	- n a.i			None	Fast2008
2902	tree	AchuarShiwiar	Chicham	númi	númi	n u m i	2913	4884	n u m i			Phonological alternation: yúmi	Fast2008
